시도,시군구,허가구분,건축구분,주건축물수,부속건축물동수,주용도,기타용도,대지면적(_),건축면적(_),건폐율(%),연면적(_),용적률산전용면적(_),용적률(%),주용도(동),대표용도(동),세대수(동),호수(동),가구수(동),주구조(동),기타구조(동),지붕구조(동),건축면적(동)(_),연면적(동)(_),용적률산정용면적(동)(_),지하층수(동),지상층수(동),높이(m),승용승강기수(동),비상용승강기수(동),설계자상호명,허가_비허가
서울특별시,도봉구,용도변경신고,용도변경,1,0,제1종근린생활시설,소매점,131.6,105.28,80,110,105.28,80,제1종근린생활시설,소매점,0,0,0,벽돌구조,벽돌구조,기와,0,0,0,1,1,3,0,0,보리 건축사사무소,비허가
서울특별시,광진구,신축허가,신축,1,0,교육연구시설,"대학교(강의실),제2종근린생활시설(일반음식점)",1292,772.54,59.79,8166.09,4589.6,355.23,교육연구시설,"대학교(강의실),제2종근린생활시설(일반음식점)",0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트,0,0,0,4,6,50,2,0,건축사사무소광림,비허가
서울특별시,동작구,신축허가,신축,1,0,업무시설,공공업무시설,800,452.44,56.555,4183.03,3600,450,업무시설,공공업무시설,0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,0,0,0,2,9,36.4,2,0,새한터 건축사사무소,비허가
서울특별시,광진구,증축허가,증축,1,0,문화및집회시설,교회,1165.06,697.09,59.83,1971.08,1307.22,112.2,문화및집회시설,교회,0,0,0,일반목구조,일반목구조,목구조,0,0,0,1,4,18.45,1,0,우정종합건축사사무소(주),비허가
제주특별시,제주시,신축허가,신축,5,0,숙박시설,일반숙박시설,2981,325.8,10.92,1954.8,1954.8,65.57,숙박시설,일반숙박시설,0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,65.16,390.96,390.96,0,6,24,0,0,보광 건축사사무소,비허가
전라남도,여수시,공용건축물,공용건축물,1,1,제1종근린생활시설,마을공동시설,3505,2104.7525,60.05,2104.7525,2104.7525,60.05,제1종근린생활시설,마을공동시설,0,0,0,경량철골구조,경량철골구조,기타지붕,72,72,72,0,1,3.3,0,0,건축사사무소주호,비허가
경기도,수원시 권선구,증축신고,증축,1,0,공동주택,다세대주택,291,129.34,44.4467,277.78,258.5,88.8316,공동주택,다세대주택,16,18,0,일반목구조,일반목구조,목구조,0,19.9,19.9,1,2,16,0,0,한담건축사사무소,비허가
충청북도,진천군,대수선허가,대수선,1,0,제1종근린생활시설,"소매점,노유자시설",568,420.21,73.9806,3217.87,2869.82,505.25,제1종근린생활시설,"소매점,노유자시설",0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,0,0,0,1,10,45,0,1,(주)맥스트랫건축사사무소,비허가
광주광역시,동구,협의건축물,협의건축물,1,0,제1종근린생활시설,마을공동작업소,178,156.9,88.14,627.6,627.6,352.58,제1종근린생활시설,마을공동작업소,0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,0,0,0,0,3,10.8,0,0,건축사사무소에이21,비허가
부산광역시,사하구,개축허가,개축,1,0,단독주택,단독주택,165,49.74,30.15,49.74,49.74,30.15,단독주택,단독주택,0,0,0,강파이프구조,강파이프구조,기타지붕,0,0,0,0,1,1.8,0,0,건축사사무소정원,비허가
